sent_at_ms	latency_us	delay_since_due_us
1790219134962	58	58
1790219134963	58	58
1790219134964	52	52
1790219134965	58	58
1790219134966	53	53
1790219134967	55	55
1790219134968	53	53
1790219134969	54	54
1790219134970	54	54
1790219134971	53	53
1790219134972	60	60
1790219134973	55	55
1790219134974	52	52
1790219134975	57	57
1790219134976	55	55
1790219134977	55	55
1790219134978	58	58
1790219134979	52	52
1790219134980	55	55
1790219134981	54	54
1790219134982	57	57
1790219134983	60	60
1790219134984	54	54
1790219134985	54	54
1790219134986	59	59
1790219134987	62	62
1790219134988	48	48
1790219134989	53	53
1790219134990	57	57
1790219134991	52	52
1790219134992	54	54
1790219134993	51	51
1790219134994	54	54
1790219134995	83	83
1790219134996	57	58
1790219134997	100	100
1790219134998	86	86
1790219134999	69	69
1790219135000	129	129
1790219135001	77	77
1790219135002	76	76
1790219135003	69	69
1790219135004	64	64
1790219135005	87	87
1790219135006	69	69
1790219135007	70	70
1790219135008	57	57
1790219135009	97	97
1790219135010	93	93
1790219135011	121	121
1790219135012	78	78
1790219135013	76	76
1790219135014	77	77
1790219135015	76	76
1790219135016	75	75
1790219135017	66	66
1790219135018	60	60
1790219135019	54	54
1790219135020	62	62
1790219135021	57	57
1790219135022	54	54
1790219135023	50	50
1790219135024	137	137
1790219135025	63	63
1790219135026	57	57
1790219135027	52	52
1790219135028	69	69
1790219135029	87	87
1790219135030	64	64
1790219135031	61	61
1790219135032	71	71
1790219135033	55	55
1790219135034	53	53
1790219135035	51	51
1790219135036	65	65
1790219135037	92	92
1790219135038	53	53
